station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m [degF],temp_9m [degF],apparent_temperature [degF],relative_humidity [percent],dewpoint [degF],precip_incremental [inch],precip_local [inch],precip_max_intensity [inch/hour],precip_1hr [inch],avg_wind_speed_prop [mile/hr],max_wind_speed_prop [mile/hr],wind_speed_stddev_prop [mile/hr],wind_direction_prop [degrees],wind_direction_stddev_prop [degrees],avg_wind_speed_sonic [mile/hr],max_wind_speed_sonic [mile/hr],wind_speed_stddev_sonic [mile/hr],wind_direction_sonic [degrees],wind_direction_stddev_sonic [degrees],avg_wind_speed_merge [mile/hr],max_wind_speed_merge [mile/hr],wind_speed_stddev_merge [mile/hr],wind_direction_merge [degrees],wind_direction_stddev_merge [degrees],solar_insolation [W/m^2],station_pressure [inHg],snow_depth,frozen_soil_05cm [bit],frozen_soil_25cm [bit],frozen_soil_50cm [bit],soil_temp_05cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],soil_moisture_05cm [m^3/m^3],soil_moisture_25cm [m^3/m^3],soil_moisture_50cm [m^3/m^3]
BATA,2016-06-01 00:00:00 EDT,43.01994,-78.13566,906,59.8,60.5,59.8,68.0,49.2,0.000,0.002,0.00,0.000,7.5,10.1,1.3,31,8,,,,,,7.5,10.1,1.3,31,8,0,29.13,,,,,,,,,,
BATA,2016-06-01 00:05:00 EDT,43.01994,-78.13566,906,59.8,60.3,59.8,68.1,49.3,0.000,0.000,0.00,0.000,7.2,9.8,1.1,30,9,,,,,,7.2,9.8,1.1,30,9,0,29.13,,,,,,,,,,
BATA,2016-06-01 00:10:00 EDT,43.01994,-78.13566,906,59.4,60.0,59.4,69.1,49.2,0.000,0.000,0.00,0.000,7.3,10.3,1.4,29,10,,,,,,7.3,10.3,1.4,29,10,0,29.13,,,,,,,,,,
BATA,2016-06-01 00:15:00 EDT,43.01994,-78.13566,906,59.2,59.8,59.2,69.2,49.1,0.000,0.000,0.00,0.000,6.4,9.9,1.3,33,12,,,,,,6.4,9.9,1.3,33,12,0,29.13,,,,,,,,,,
BATA,2016-06-01 00:20:00 EDT,43.01994,-78.13566,906,59.0,59.6,59.0,69.9,49.2,0.000,0.000,0.00,0.000,6.9,10.2,1.4,31,9,,,,,,6.9,10.2,1.4,31,9,0,29.13,,,,,,,,,,
BATA,2016-06-01 00:25:00 EDT,43.01994,-78.13566,906,58.9,59.5,58.9,70.0,49.1,0.000,0.000,0.00,0.000,7.2,9.7,1.2,30,9,,,,,,7.2,9.7,1.2,30,9,0,29.13,,,,,,,,,,
BATA,2016-06-01 00:30:00 EDT,43.01994,-78.13566,906,58.8,59.3,58.8,69.8,49.0,0.000,0.000,0.00,0.000,6.8,10.3,1.2,37,11,,,,,,6.8,10.3,1.2,37,11,0,29.14,,,,,,,,,,
BATA,2016-06-01 00:35:00 EDT,43.01994,-78.13566,906,58.5,59.0,58.5,70.0,48.8,0.000,0.000,0.00,0.000,6.6,9.4,1.2,38,10,,,,,,6.6,9.4,1.2,38,10,0,29.14,,,,,,,,,,
BATA,2016-06-01 00:40:00 EDT,43.01994,-78.13566,906,58.2,58.7,58.2,70.3,48.6,0.000,0.000,0.00,0.000,5.4,9.5,1.3,45,12,,,,,,5.4,9.5,1.3,45,12,0,29.14,,,,,,,,,,
BATA,2016-06-01 00:45:00 EDT,43.01994,-78.13566,906,58.1,58.5,58.1,70.9,48.7,0.000,0.000,0.00,0.000,6.0,9.0,1.2,43,11,,,,,,6.0,9.0,1.2,43,11,0,29.14,,,,,,,,,,
BATA,2016-06-01 00:50:00 EDT,43.01994,-78.13566,906,57.5,58.2,57.5,71.6,48.4,0.000,0.000,0.00,0.000,6.0,9.2,1.4,39,12,,,,,,6.0,9.2,1.4,39,12,0,29.14,,,,,,,,,,
BATA,2016-06-01 00:55:00 EDT,43.01994,-78.13566,906,57.7,58.1,57.7,71.2,48.5,0.000,0.000,0.00,0.000,5.8,8.6,1.4,41,12,,,,,,5.8,8.6,1.4,41,12,0,29.14,,,,,,,,,,
BATA,2016-06-01 01:00:00 EDT,43.01994,-78.13566,906,57.5,57.9,57.5,71.0,48.2,0.000,0.000,0.00,0.000,6.1,8.9,1.0,49,13,,,,,,6.1,8.9,1.0,49,13,0,29.14,,,,,,,,,,
BATA,2016-06-01 01:05:00 EDT,43.01994,-78.13566,906,57.2,57.6,57.2,71.3,48.0,0.000,0.000,0.00,0.000,5.0,8.0,1.3,54,15,,,,,,5.0,8.0,1.3,54,15,0,29.14,,,,,,,,,,
BATA,2016-06-01 01:10:00 EDT,43.01994,-78.13566,906,57.0,57.5,57.0,71.6,47.9,0.000,0.000,0.00,0.000,4.8,9.3,1.6,57,17,,,,,,4.8,9.3,1.6,57,17,0,29.14,,,,,,,,,,
BATA,2016-06-01 01:15:00 EDT,43.01994,-78.13566,906,56.9,57.4,56.9,71.4,47.7,0.000,0.000,0.00,0.000,5.4,8.6,1.1,52,12,,,,,,5.4,8.6,1.1,52,12,0,29.14,,,,,,,,,,
BATA,2016-06-01 01:20:00 EDT,43.01994,-78.13566,906,56.7,57.2,56.7,71.3,47.6,0.000,0.000,0.00,0.000,5.3,8.6,1.1,54,12,,,,,,5.3,8.6,1.1,54,12,0,29.14,,,,,,,,,,
BATA,2016-06-01 01:25:00 EDT,43.01994,-78.13566,906,56.5,57.0,56.5,71.4,47.4,0.000,0.000,0.00,0.000,5.1,9.0,1.4,54,12,,,,,,5.1,9.0,1.4,54,12,0,29.14,,,,,,,,,,
BATA,2016-06-01 01:30:00 EDT,43.01994,-78.13566,906,56.3,56.8,56.3,71.9,47.3,0.000,0.000,0.00,0.000,5.7,9.4,1.2,53,14,,,,,,5.7,9.4,1.2,53,14,0,29.14,,,,,,,,,,
BATA,2016-06-01 01:35:00 EDT,43.01994,-78.13566,906,56.3,56.7,56.3,71.5,47.2,0.000,0.000,0.00,0.000,5.5,8.5,1.2,55,15,,,,,,5.5,8.5,1.2,55,15,0,29.14,,,,,,,,,,
BATA,2016-06-01 01:40:00 EDT,43.01994,-78.13566,906,56.1,56.5,56.1,71.6,47.0,0.000,0.000,0.00,0.000,5.2,9.6,1.6,59,16,,,,,,5.2,9.6,1.6,59,16,0,29.14,,,,,,,,,,
BATA,2016-06-01 01:45:00 EDT,43.01994,-78.13566,906,56.0,56.4,56.0,71.6,47.0,0.000,0.000,0.00,0.000,5.8,10.0,1.5,55,16,,,,,,5.8,10.0,1.5,55,16,0,29.14,,,,,,,,,,
BATA,2016-06-01 01:50:00 EDT,43.01994,-78.13566,906,55.8,56.2,55.8,72.1,46.9,0.000,0.000,0.00,0.000,5.6,8.5,1.3,55,16,,,,,,5.6,8.5,1.3,55,16,0,29.14,,,,,,,,,,
BATA,2016-06-01 01:55:00 EDT,43.01994,-78.13566,906,55.6,56.1,55.6,72.5,46.9,0.000,0.000,0.00,0.000,5.8,10.4,1.6,59,14,,,,,,5.8,10.4,1.6,59,14,0,29.14,,,,,,,,,,
BATA,2016-06-01 02:00:00 EDT,43.01994,-78.13566,906,55.7,56.0,55.7,72.4,46.9,0.000,0.000,0.00,0.000,4.9,9.1,1.5,61,15,,,,,,4.9,9.1,1.5,61,15,0,29.14,,,,,,,,,,
BATA,2016-06-01 02:05:00 EDT,43.01994,-78.13566,906,55.7,55.9,55.7,72.1,46.8,0.000,0.000,0.00,0.000,4.1,8.8,2.2,74,19,,,,,,4.1,8.8,2.2,74,19,0,29.15,,,,,,,,,,
BATA,2016-06-01 02:10:00 EDT,43.01994,-78.13566,906,55.8,56.0,55.8,71.5,46.8,0.000,0.000,0.00,0.000,5.5,12.6,2.6,71,21,,,,,,5.5,12.6,2.6,71,21,0,29.15,,,,,,,,,,
