station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m [degF],temp_9m [degF],apparent_temperature [degF],relative_humidity [percent],dewpoint [degF],precip_incremental [inch],precip_local [inch],precip_max_intensity [inch/hour],precip_1hr [inch],avg_wind_speed_prop [mile/hr],max_wind_speed_prop [mile/hr],wind_speed_stddev_prop [mile/hr],wind_direction_prop [degrees],wind_direction_stddev_prop [degrees],avg_wind_speed_sonic [mile/hr],max_wind_speed_sonic [mile/hr],wind_speed_stddev_sonic [mile/hr],wind_direction_sonic [degrees],wind_direction_stddev_sonic [degrees],avg_wind_speed_merge [mile/hr],max_wind_speed_merge [mile/hr],wind_speed_stddev_merge [mile/hr],wind_direction_merge [degrees],wind_direction_stddev_merge [degrees],solar_insolation [W/m^2],station_pressure [inHg],snow_depth,frozen_soil_05cm [bit],frozen_soil_25cm [bit],frozen_soil_50cm [bit],soil_temp_05cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],soil_moisture_05cm [m^3/m^3],soil_moisture_25cm [m^3/m^3],soil_moisture_50cm [m^3/m^3]
BATA,2016-03-24 00:00:00 EDT,43.01994,-78.13566,906,30.9,30.6,26.3,94.9,29.6,0.000,0.385,0.00,0.003,4.5,7.7,1.2,87,13,5.6,5.6,0.0,89,0,4.5,7.7,1.2,87,13,0,29.13,,,,,,,,,,
BATA,2016-03-24 00:05:00 EDT,43.01994,-78.13566,906,30.9,30.6,25.9,95.0,29.6,0.000,0.000,0.00,0.003,4.8,7.5,1.0,84,14,,,,,,4.8,7.5,1.0,84,14,0,29.13,,,,,,,,,,
BATA,2016-03-24 00:10:00 EDT,43.01994,-78.13566,906,30.9,30.6,26.1,95.2,29.7,0.000,0.000,0.00,0.001,4.7,7.7,1.2,84,16,,,,,,4.7,7.7,1.2,84,16,0,29.12,,,,,,,,,,
BATA,2016-03-24 00:15:00 EDT,43.01994,-78.13566,906,30.9,30.6,26.1,95.4,29.8,0.000,0.000,0.00,0.000,4.7,7.1,0.9,85,15,,,,,,4.7,7.1,0.9,85,15,0,29.12,,,,,,,,,,
BATA,2016-03-24 00:20:00 EDT,43.01994,-78.13566,906,30.9,30.6,26.5,95.6,29.8,0.000,0.000,0.00,0.000,4.3,6.6,0.9,86,12,,,,,,4.3,6.6,0.9,86,12,0,29.12,,,,,,,,,,
BATA,2016-03-24 00:25:00 EDT,43.01994,-78.13566,906,30.9,30.6,26.6,95.8,29.8,0.000,0.000,0.00,0.000,4.2,7.7,1.0,87,13,,,,,,4.2,7.7,1.0,87,13,0,29.12,,,,,,,,,,
BATA,2016-03-24 00:30:00 EDT,43.01994,-78.13566,906,30.9,30.5,26.3,96.0,29.9,0.000,0.000,0.00,0.000,4.5,8.5,1.5,88,13,,,,,,4.5,8.5,1.5,88,13,0,29.12,,,,,,,,,,
BATA,2016-03-24 00:35:00 EDT,43.01994,-78.13566,906,30.9,30.5,25.8,96.0,29.9,0.000,0.000,0.00,0.000,5.0,7.3,1.0,86,14,8.9,8.9,0.0,93,0,5.0,7.3,1.0,86,14,0,29.12,,,,,,,,,,
BATA,2016-03-24 00:40:00 EDT,43.01994,-78.13566,906,30.9,30.5,25.8,96.1,29.9,0.000,0.000,0.00,0.000,4.9,8.3,1.4,87,14,,,,,,4.9,8.3,1.4,87,14,0,29.12,,,,,,,,,,
BATA,2016-03-24 00:45:00 EDT,43.01994,-78.13566,906,30.9,30.5,26.0,96.3,29.9,0.000,0.000,0.00,0.000,4.8,7.5,1.2,85,15,,,,,,4.8,7.5,1.2,85,15,0,29.12,,,,,,,,,,
BATA,2016-03-24 00:50:00 EDT,43.01994,-78.13566,906,30.9,30.5,25.7,96.4,30.0,0.000,0.000,0.00,0.000,5.0,8.4,1.3,79,16,,,,,,5.0,8.4,1.3,79,16,0,29.12,,,,,,,,,,
BATA,2016-03-24 00:55:00 EDT,43.01994,-78.13566,906,30.9,30.5,26.2,96.5,30.0,0.000,0.000,0.00,0.000,4.5,7.5,1.2,84,12,,,,,,4.5,7.5,1.2,84,12,0,29.12,,,,,,,,,,
BATA,2016-03-24 01:00:00 EDT,43.01994,-78.13566,906,30.8,30.5,26.1,96.6,30.0,0.000,0.000,0.00,0.000,4.6,8.4,1.5,88,14,,,,,,4.6,8.4,1.5,88,14,0,29.12,,,,,,,,,,
BATA,2016-03-24 01:05:00 EDT,43.01994,-78.13566,906,30.8,30.5,25.9,96.7,30.0,0.000,0.000,0.00,0.000,4.8,9.2,1.4,82,15,,,,,,4.8,9.2,1.4,82,15,0,29.12,,,,,,,,,,
BATA,2016-03-24 01:10:00 EDT,43.01994,-78.13566,906,30.8,30.5,25.8,96.8,30.0,0.000,0.000,0.00,0.000,4.9,8.3,1.2,84,11,,,,,,4.9,8.3,1.2,84,11,0,29.12,,,,,,,,,,
BATA,2016-03-24 01:15:00 EDT,43.01994,-78.13566,906,30.8,30.5,25.7,96.9,30.0,0.000,0.000,0.00,0.000,5.0,9.1,1.5,81,12,,,,,,5.0,9.1,1.5,81,12,0,29.11,,,,,,,,,,
BATA,2016-03-24 01:20:00 EDT,43.01994,-78.13566,906,30.8,30.5,26.4,97.0,30.1,0.000,0.000,0.00,0.000,4.3,7.3,1.3,84,14,,,,,,4.3,7.3,1.3,84,14,0,29.10,,,,,,,,,,
BATA,2016-03-24 01:25:00 EDT,43.01994,-78.13566,906,30.8,30.4,25.0,97.1,30.0,0.000,0.000,0.00,0.000,5.7,8.2,1.1,91,14,,,,,,5.7,8.2,1.1,91,14,0,29.10,,,,,,,,,,
BATA,2016-03-24 01:30:00 EDT,43.01994,-78.13566,906,30.7,30.3,24.9,97.1,30.0,0.000,0.000,0.00,0.000,5.8,10.0,1.4,85,13,,,,,,5.8,10.0,1.4,85,13,0,29.09,,,,,,,,,,
BATA,2016-03-24 01:35:00 EDT,43.01994,-78.13566,906,30.7,30.3,25.0,97.2,30.0,0.000,0.000,0.00,0.000,5.6,9.9,1.3,88,13,,,,,,5.6,9.9,1.3,88,13,0,29.09,,,,,,,,,,
BATA,2016-03-24 01:40:00 EDT,43.01994,-78.13566,906,30.7,30.4,26.8,97.3,30.0,0.000,0.000,0.00,0.000,3.8,7.5,1.2,86,16,,,,,,3.8,7.5,1.2,86,16,0,29.09,,,,,,,,,,
BATA,2016-03-24 01:45:00 EDT,43.01994,-78.13566,906,30.7,30.3,25.7,97.4,30.0,0.000,0.000,0.00,0.000,4.9,7.5,1.3,83,12,,,,,,4.9,7.5,1.3,83,12,0,29.09,,,,,,,,,,
BATA,2016-03-24 01:50:00 EDT,43.01994,-78.13566,906,30.7,30.4,26.6,97.5,30.1,0.000,0.000,0.00,0.000,4.0,6.6,1.0,83,15,,,,,,4.0,6.6,1.0,83,15,0,29.09,,,,,,,,,,
BATA,2016-03-24 01:55:00 EDT,43.01994,-78.13566,906,30.7,30.3,25.0,97.5,30.0,0.000,0.000,0.00,0.000,5.6,8.3,1.1,75,11,,,,,,5.6,8.3,1.1,75,11,0,29.10,,,,,,,,,,
BATA,2016-03-24 02:00:00 EDT,43.01994,-78.13566,906,30.6,30.3,25.9,97.5,30.0,0.000,0.000,0.00,0.000,4.5,7.8,1.0,75,14,,,,,,4.5,7.8,1.0,75,14,0,29.09,,,,,,,,,,
BATA,2016-03-24 02:05:00 EDT,43.01994,-78.13566,906,30.7,30.3,26.4,97.6,30.1,0.000,0.000,0.00,0.000,4.1,7.2,1.1,85,15,,,,,,4.1,7.2,1.1,85,15,0,29.09,,,,,,,,,,
BATA,2016-03-24 02:10:00 EDT,43.01994,-78.13566,906,30.6,30.3,26.0,97.6,30.0,0.000,0.000,0.00,0.000,4.5,8.0,1.2,83,14,,,,,,4.5,8.0,1.2,83,14,0,29.10,,,,,,,,,,
BATA,2016-03-24 02:15:00 EDT,43.01994,-78.13566,906,30.7,30.4,27.4,97.7,30.1,0.000,0.000,0.00,0.000,3.3,5.6,0.9,83,16,,,,,,3.3,5.6,0.9,83,16,0,29.10,,,,,,,,,,
BATA,2016-03-24 02:20:00 EDT,43.01994,-78.13566,906,30.7,30.3,26.3,97.7,30.1,0.000,0.000,0.00,0.000,4.2,7.2,0.9,87,12,,,,,,4.2,7.2,0.9,87,12,0,29.09,,,,,,,,,,
BATA,2016-03-24 02:25:00 EDT,43.01994,-78.13566,906,30.7,30.3,25.7,97.8,30.1,0.000,0.000,0.00,0.000,4.7,8.0,1.1,81,15,,,,,,4.7,8.0,1.1,81,15,0,29.09,,,,,,,,,,
BATA,2016-03-24 02:30:00 EDT,43.01994,-78.13566,906,30.6,30.3,25.4,97.8,30.1,0.000,0.000,0.00,0.000,5.1,7.7,1.0,78,13,,,,,,5.1,7.7,1.0,78,13,0,29.09,,,,,,,,,,
BATA,2016-03-24 02:35:00 EDT,43.01994,-78.13566,906,30.7,30.4,26.3,97.8,30.1,0.000,0.000,0.00,0.000,4.2,8.1,1.2,76,15,,,,,,4.2,8.1,1.2,76,15,0,29.09,,,,,,,,,,
BATA,2016-03-24 02:40:00 EDT,43.01994,-78.13566,906,30.7,30.3,26.8,97.9,30.2,0.000,0.000,0.00,0.000,3.8,6.8,1.0,78,17,,,,,,3.8,6.8,1.0,78,17,0,29.08,,,,,,,,,,
